event_title,summary,image_url,language,event_type,event_host,ticket_price,booking_url,start_date,end_date,start_time,end_time,event_place,full_address,country_name,state_name,city_name,postal_code
CanArbWeek 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F961931423%2F490429336365%2F1%2Foriginal.jpg?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=e1413e51ee0d7254f06b0e93c242cf82,,,CanArbWeek,112.74,https://www.eventbrite.ca/e/canarbweek-2025-tickets-1250714052399?aff=ebdssbdestsearch,2025-06-08,2025-06-10,17:30,19:00,Saint James's Club of Montreal,"1145 Avenue Union Montréal, QC H3B 3C2 Show map",Canada,QC,,H3B 3C2
Crowned - BC Ladies Retreat 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1001450983%2F1488246497323%2F1%2Foriginal.20250405-001342?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.486290126459&fp-y=0.387159533074&s=c1d099ff6e02661b5cd4212b609a4b32,,,Ladies Ministries of BC,22.63,https://www.eventbrite.ca/e/crowned-bc-ladies-retreat-2025-registration-1312979479969?aff=ebdssbdestsearch,2025-06-05,2025-06-07,17:00,12:00,Dogwood Valley Camp,"26625 Apostolic Way Hope, BC V0X 1L3 Show map",Canada,BC,,V0X 1L3
Vancouver Society of Interior Designers Annual Summer Networking Event,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1004545833%2F226871590703%2F1%2Foriginal.20250409-035928?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=36e734909ef379a9a8fe75f19744badf,,,Vancouver Society of Interior Designers,0 - 90.86,https://www.eventbrite.ca/e/vancouver-society-of-interior-designers-annual-summer-networking-event-tickets-1300982948019?aff=ebdssbdestsearch,2025-06-18,2025-06-01,17:00,21:00,The Stack,"1133 Melville Street Vancouver, BC V6E 4E5 Show map",Canada,BC,,V6E 4E5
CSN Collision Father's Day Car Show - Vehicle Registration,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F949675513%2F2518575881821%2F1%2Foriginal.20250131-172133?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.954545454545&fp-y=0.507462686567&s=9b90fbdafd32cf92d2ec5fc6817e0119,,,CSN Collision,10 - 50,https://www.eventbrite.com/e/csn-collision-fathers-day-car-show-vehicle-registration-tickets-1218263812859?aff=ebdssbdestsearch,2025-06-15,2025-06-01,10:00,14:00,Kelowna City Park,"1600 Abbott Street Kelowna, BC V1Y 1B7 Show map",Canada,BC,,V1Y 1B7
Purple Cast - Saturday,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F729571879%2F177324470796%2F1%2Foriginal.20240327-143055?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C48%2C1502%2C751&s=cd7709dc698594a44a9b99447385ba5d,,,Squamish Dance Centre,43.93,https://www.eventbrite.ca/e/purple-cast-saturday-tickets-1323768189289?aff=ebdssbdestsearch,2025-06-21,2025-06-01,10:00,12:30,Kay Meek Arts Centre,"1700 Mathers Avenue West Vancouver, BC V7V 2G6 Show map",Canada,BC,,V7V 2G6
Cambrian at Hanson June 2025 Convocation,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F928894933%2F199776736140%2F1%2Foriginal.20250106-200305?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C6912%2C3456&s=62d4ff584b55c0842fa7aee1fb30ec58,,,Hanson College - Ontario Campuses,54.49,https://www.eventbrite.ca/e/cambrian-at-hanson-june-2025-convocation-tickets-1325251867009?aff=ebdssbdestsearch,2025-06-25,2025-06-01,08:30,19:00,Metro Toronto Convention Centre,"255 Front St W Toronto, ON M5V 2W6 Show map",Canada,ON,,M5V 2W6
Back to the Galaxy V,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F996140073%2F310652477182%2F1%2Foriginal.20250330-173520?w=600&auto=format%2Ccompress&q=75&sharp=10&s=7a3d58881135eceb649781a3c8b0fe3b,,,Frankie F Fresh,129.13,https://www.eventbrite.ca/e/back-to-the-galaxy-v-tickets-1106674456089?aff=ebdssbdestsearch,2025-06-06,2025-06-06,19:00,,Galaxy 707 Club,"475 North Service Road East Oakville, ON L6H 1A5 Show map",Canada,ON,,L6H 1A5
Live Midget Wrestling at The Track on 2,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F917855793%2F315784596290%2F1%2Foriginal.20241215-230706?w=600&auto=format%2Ccompress&q=75&sharp=10&s=866326b9892d18f29411b7ce0950a4da,,,The Track on 2 - Casino & Horse Racing,0 - 72.45,https://www.eventbrite.ca/e/live-midget-wrestling-at-the-track-on-2-tickets-1114979215849?aff=ebdssbdestsearch,2025-06-14,2025-06-01,17:00,21:00,The Track on 2,"40309 Range Road 272 Lacombe County, AB T0C 0J0 Show map",Canada,AB,,T0C 0J0
LOVEVILLE FEST 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F919122993%2F1376401514753%2F1%2Foriginal.20241217-192921?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C30%2C2160%2C1080&s=eadac8899c2602921866ccabca912f58,,,Brainleads entertainment,45,https://www.eventbrite.ca/e/loveville-fest-2025-tickets-1116827885269?aff=ebdssbdestsearch,2025-06-28,2025-06-29,14:00,,ASSINIBOIA DOWNS,"3975 portage Avenue Winnipeg, MB R0H Show map",Canada,MB,,
Canadian Annual Derivatives Conference 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1007046123%2F199714228629%2F1%2Foriginal.20250411-194217?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=6b0711fc229b20e14e5609cba71ace7f,,,Christiane Lavallée,258.71,https://www.eventbrite.ca/e/canadian-annual-derivatives-conference-2025-tickets-1236354271909?aff=ebdssbdestsearch,2025-06-17,2025-06-18,08:00,12:00,Le Westin Montreal,"270 Rue Saint-Antoine Ouest Montréal, QC H2Y 0A3 Show map",Canada,QC,,H2Y 0A3
